customer_id,customer_name,year,month,num_orders
Aa-10315,Alex Avila,2014,9,1
Aa-10375,Allen Armold,2015,2,1
Aa-10480,Andrew Allen,2014,5,1
Aa-10480,Andrew Allen,2016,8,1
Aa-10645,Anna Andreadi,2014,6,1
Aa-10645,Anna Andreadi,2014,12,1
Aa-10645,Anna Andreadi,2015,11,1
Aa-10645,Anna Andreadi,2016,7,1
Aa-10645,Anna Andreadi,2016,9,1
Ab-10015,Aaron Bergman,2014,3,1
Ab-10015,Aaron Bergman,2016,11,1
Ab-10060,Adam Bellavance,2016,3,1
Ab-10060,Adam Bellavance,2017,11,1
Ab-10105,Adrian Barton,2015,11,1
Ab-10105,Adrian Barton,2016,9,1
Ab-10105,Adrian Barton,2017,11,1
Ab-10150,Aimee Bixby,2017,11,1
Ab-10165,Alan Barnes,2014,11,1
Ab-10165,Alan Barnes,2017,3,1
Ab-10255,Alejandro Ballentine,2016,12,1
Ab-10600,Ann Blume,2015,11,1
Ab-10600,Ann Blume,2017,11,1
Ac-10420,Alyssa Crouse,2014,7,1
Ac-10615,Ann Chong,2017,9,1
Ac-10615,Ann Chong,2017,12,1
Ac-10660,Anna Chung,2014,10,1
Ad-10180,Alan Dominguez,2014,12,1
Ad-10180,Alan Dominguez,2015,6,1
Ad-10180,Alan Dominguez,2017,12,1
Af-10870,Art Ferguson,2016,5,1
Af-10870,Art Ferguson,2017,11,1
Af-10885,Art Foster,2014,5,1
Af-10885,Art Foster,2015,10,1
Ag-10270,Alejandro Grove,2016,9,1
Ag-10270,Alejandro Grove,2017,3,1
Ag-10300,Aleksandra Gannaway,2014,4,1
Ag-10300,Aleksandra Gannaway,2016,12,1
Ag-10330,Alex Grayson,2017,12,1
Ag-10390,Allen Goldenen,2017,9,1
Ag-10495,Andrew Gjertsen,2015,1,1
Ag-10495,Andrew Gjertsen,2015,6,1
Ag-10495,Andrew Gjertsen,2015,10,1
Ag-10525,Andy Gerbode,2015,9,1
Ag-10675,Anna Gayman,2015,5,1
